smiles,d,FEPA,FEHA,b_idx,n_idx
B(c1c(Br)cc(Br)cc1(Br))(c1c(Br)cc(Br)cc1(Br))c1c(c8ccccc8)ccc(c14)c(c23)cccc2cccc3c(c45)ccc([O][H])c5N(c5c(F)cccc5)(c5c(F)cccc5),4.057294075,-201.7732487,-100.8435622,0,48
B(C#C(c1ccccc1))(C#C(c1ccccc1))c1c(c7ccc(N(C)C)cc7)cccc1N=C(CCC)N(C=CC(C)C)(C=CC(C)C),2.874505608,-237.0859597,-75.43336554,0,32
B(C=C(C(=O)([N+](=O)([O-]))))(C=C(C(=O)([N+](=O)([O-]))))c1c(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cccc1C=C(CCC)N(CC(C)(C)(C))(CC(C)(C)(C)),4.753149378,-187.6799732,-123.5379321,0,39
B(c1cc(F)cc(Cl)c1)(c1cc(F)cc(Cl)c1)C1([Si](C)(C)C)CCCC1([Si](C)(C)C)N1(CCCN2CCCCCC12),2.9567682,-223.3005023,-86.9788437,0,30
B(c1c(F)c(Cl)c(F)c(Cl)c1(F))(c1c(F)c(Cl)c(F)c(Cl)c1(F))/N=N\N(c4c(C)c(C)c(C)c(C)c4(C))(c4c(C)c(C)c(C)c(C)c4(C)),2.526526748,-200.2194165,-86.90155043,0,24
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)Oc1c(c8ccc(C(F)(F)F)cc8)ccc(C(=O)OCC)n1,2.856080881,-206.6386097,-98.10377389,0,36
B(F)(F)C1C(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)N=NN1,2.558144505,-161.7188537,-110.1821047,0,21
B(CCC)(CCC)c1c([O][H])c2cccc(CCCC)c2N1(CC(C)(C)(C)),2.6695538,-198.1517025,-60.98358852,0,20
B1(N(c2ccccc2)C(C)=C(C)N1(c3ccccc3))N1c(c6c(OC)cccc6(OC))cc(C(C)C)n1,2.51834605,-234.3224028,-63.86362591,0,36
B(c1c(Cl)cc(Cl)cc1(Cl))(c1c(Cl)cc(Cl)cc1(Cl))c1c(c8ccc([N+](=O)([O-]))cc8)cccc1CC(CC(C)(C)C)N(c6ccc(Br)cc6)(c6ccc(Br)cc6),5.432928936,-194.0803156,-111.7541974,0,41
B(c7ccc(c6ccccc6)cc7)(c7ccc(c6ccccc6)cc7)C([Si](C)(C)C)c1ccc(F)N1(c5ccc(F)cc5),3.802775819,-178.9623296,-88.90270607,0,35
